epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1353.02,0.91276,1.33212,1.25367,1.05408,0,0.7954,0.95314,0.96355,0.72365,0.77069,0.92537,0.93774,0.6488,0.93608,1.46828,1.70762,1.11846,0,0.000333379,0.000333379,0.000333379
29,1398.02,0.95389,1.4059,1.27167,1.0498,0,0.8376,0.90386,0.93556,0.70688,0.83689,0.90764,0.93438,0.69004,0.8927,1.27714,1.82375,1.12043,0,0.000328874,0.000328874,0.000328874
30,1445.94,0.93502,1.34989,1.22207,1.05291,0,0.81004,0.92108,0.94715,0.72208,0.791,0.91207,0.90488,0.63969,0.91287,1.4313,1.49178,1.13125,0,0.000324369,0.000324369,0.000324369
31,1490.26,0.8918,1.38284,1.19584,1.02094,0,0.87339,0.91864,0.97417,0.77759,0.85509,0.90537,0.95333,0.6745,0.80817,1.30323,1.5442,1.0699,0,0.000319865,0.000319865,0.000319865
32,1534.22,0.8927,1.33534,1.16803,1.03626,0,0.76372,0.96834,0.94917,0.72898,0.75737,0.96723,0.93403,0.65119,0.88527,1.31213,1.48821,1.07761,0,0.00031536,0.00031536,0.00031536
33,1579.06,0.89684,1.29857,1.14554,1.02621,0,0.86151,0.9254,0.96415,0.75898,0.86151,0.9254,0.9711,0.68689,0.85269,1.30079,1.33684,1.04643,0,0.000310856,0.000310856,0.000310856
34,1624.81,0.94203,1.35894,1.17287,1.03922,0,0.88782,0.92648,0.98164,0.75756,0.88782,0.92648,0.98164,0.70098,0.86731,1.24457,1.48212,1.07808,0,0.000306351,0.000306351,0.000306351
35,1675.39,0.88508,1.29219,1.10921,1.02337,0,0.86145,0.94705,0.97394,0.72669,0.8666,0.95868,0.97278,0.69468,0.8802,1.23179,1.27218,1.0749,0,0.000301847,0.000301847,0.000301847
36,1717.78,0.87938,1.23113,1.07549,1.02294,0,0.81731,0.9411,0.97423,0.74622,0.80457,0.92721,0.95111,0.69312,0.84999,1.23857,1.31458,1.05868,0,0.000297342,0.000297342,0.000297342
37,1770.24,0.8877,1.29321,1.05087,1.02363,0,0.80161,0.9609,0.96668,0.76545,0.80726,0.96955,0.96543,0.67926,0.79867,1.24653,1.24558,1.06096,0,0.000292838,0.000292838,0.000292838
38,1821.91,0.88118,1.32664,1.0992,1.02757,0,0.84261,0.93446,0.95812,0.74166,0.84261,0.93446,0.96506,0.68556,0.87379,1.23534,1.11793,1.09122,0,0.000288333,0.000288333,0.000288333
39,1870.87,0.85264,1.20707,1.02081,1.01851,0,0.86925,0.94964,0.97123,0.79077,0.877,0.96318,0.98759,0.69661,0.79068,1.30375,1.17428,1.04312,0,0.000283829,0.000283829,0.000283829
40,1916.5,0.87118,1.22665,1.00839,1.00673,0,0.86271,0.96725,0.97694,0.77171,0.89458,0.95257,0.98389,0.70086,0.85988,1.27028,1.07276,1.06528,0,0.000279325,0.000279325,0.000279325
41,1962.02,0.84672,1.23791,0.97558,1.02129,0,0.90152,0.94986,0.97116,0.77082,0.89337,0.95682,0.9619,0.70292,0.84408,1.21118,1.06677,1.08025,0,0.00027482,0.00027482,0.00027482
42,2007.37,0.85727,1.23515,1.01285,1.00826,0,0.91224,0.94402,0.98806,0.78955,0.91224,0.94402,0.98806,0.72198,0.78497,1.2485,1.05998,1.04201,0,0.000270316,0.000270316,0.000270316
43,2057.8,0.83971,1.26773,0.94848,0.99677,0,0.90794,0.93104,0.97505,0.7752,0.90725,0.92702,0.96116,0.71338,0.783,1.24778,0.99435,1.01695,0,0.000265811,0.000265811,0.000265811
44,2105.79,0.8198,1.21722,0.94193,0.99485,0,0.80526,0.94874,0.96005,0.74622,0.80526,0.94874,0.95773,0.72776,0.81927,1.1569,1.16472,1.04556,0,0.000261307,0.000261307,0.000261307
45,2153.05,0.81238,1.18928,0.91647,0.99322,0,0.9155,0.88528,0.9788,0.74827,0.91388,0.87943,0.96144,0.69813,0.79953,1.22073,0.98751,1.03565,0,0.000256802,0.000256802,0.000256802
46,2200.51,0.81779,1.21369,0.92059,0.99286,0,0.91715,0.94895,0.98627,0.79396,0.91499,0.9429,0.97238,0.71371,0.78253,1.18345,0.98777,1.03463,0,0.000252298,0.000252298,0.000252298
47,2248.14,0.8133,1.18919,0.91478,0.9898,0,0.96075,0.93186,0.995,0.7903,0.95924,0.92737,0.98111,0.72434,0.79151,1.20997,0.919,1.02419,0,0.000247793,0.000247793,0.000247793
48,2301.05,0.81434,1.20154,0.91299,1.00733,0,0.84147,0.97007,0.98442,0.77318,0.84147,0.97007,0.98442,0.72206,0.78797,1.20406,0.97514,1.02111,0,0.000243289,0.000243289,0.000243289
49,2348.54,0.81052,1.18421,0.88779,1.01435,0,0.78373,0.97585,0.97308,0.76096,0.9173,0.87596,0.96266,0.68883,0.78743,1.22539,1.03937,1.03127,0,0.000238784,0.000238784,0.000238784
50,2392.78,0.81104,1.17039,0.87784,1.00232,0,0.90815,0.95392,0.98944,0.78023,0.90815,0.95392,0.98944,0.71748,0.81661,1.19557,0.87731,1.04475,0,0.00023428,0.00023428,0.00023428
51,2436.2,0.80488,1.2253,0.859,1.01025,0,0.87069,0.97748,0.9869,0.76234,0.87069,0.97748,0.9831,0.71124,0.81916,1.21648,0.95277,1.04614,0,0.000229775,0.000229775,0.000229775
52,2478.94,0.81484,1.17301,0.85284,0.99599,0,0.92512,0.93283,0.98389,0.77455,0.92512,0.93283,0.98389,0.72957,0.79863,1.12277,0.91486,1.0143,0,0.00022527,0.00022527,0.00022527
53,2520.84,0.81282,1.18473,0.86721,0.99396,0,0.9077,0.91965,0.98349,0.77709,0.90259,0.91404,0.9696,0.71254,0.8132,1.22424,0.88507,1.02665,0,0.000220766,0.000220766,0.000220766
54,2562.87,0.77357,1.15584,0.82954,0.99968,0,0.84984,0.98004,0.98759,0.76576,0.84111,0.96929,0.9737,0.71845,0.80682,1.13078,0.95575,1.032,0,0.000216261,0.000216261,0.000216261
55,2604.47,0.79477,1.17797,0.8467,1.00143,0,0.86243,0.97893,0.97556,0.78244,0.84901,0.96504,0.96306,0.72127,0.76812,1.19732,0.88455,1.0106,0,0.000211757,0.000211757,0.000211757
56,2646.54,0.81385,1.17734,0.83326,0.99264,0,0.93039,0.93079,0.97957,0.76702,0.91699,0.91717,0.95533,0.71157,0.82139,1.2611,0.83411,1.01268,0,0.000207252,0.000207252,0.000207252
57,2688.25,0.75678,1.12904,0.79111,0.98434,0,0.94279,0.95478,0.99222,0.78473,0.94279,0.95478,0.99222,0.74002,0.7794,1.19544,0.84497,1.018,0,0.000202748,0.000202748,0.000202748
58,2730.51,0.77174,1.14197,0.8008,0.98604,0,0.85217,0.95548,0.99222,0.78047,0.85217,0.95548,0.99222,0.73532,0.82193,1.15645,0.90663,1.01841,0,0.000198244,0.000198244,0.000198244
59,2772.25,0.7975,1.1955,0.8325,0.98785,0,0.86743,0.92272,0.96907,0.76552,0.85441,0.96001,0.97238,0.71859,0.79719,1.2269,0.88688,1.01733,0,0.000193739,0.000193739,0.000193739
60,2815.06,0.79691,1.13997,0.81141,0.9982,0,0.82707,0.97137,0.97509,0.77161,0.82707,0.97137,0.97648,0.69999,0.78127,1.29663,0.80336,1.01965,0,0.000189235,0.000189235,0.000189235
61,2866.44,0.77783,1.1777,0.79659,0.99357,0,0.90573,0.93243,0.98944,0.78571,0.90573,0.93243,0.98944,0.73788,0.77608,1.16766,0.81116,1.03105,0,0.00018473,0.00018473,0.00018473
62,2919.7,0.75216,1.12479,0.75548,0.97659,0,0.90645,0.96679,0.98944,0.79297,0.90645,0.96679,0.98944,0.72274,0.77494,1.18355,0.84689,1.02269,0,0.000180226,0.000180226,0.000180226
63,2974.61,0.73808,1.09419,0.73611,0.96406,0,0.936,0.98278,0.995,0.81859,0.936,0.98278,0.995,0.73378,0.74846,1.21743,0.76662,0.99372,0,0.000175721,0.000175721,0.000175721
64,3022.44,0.77595,1.12941,0.76107,0.96958,0,0.93703,0.9572,0.99222,0.7858,0.93703,0.9572,0.99222,0.72362,0.79683,1.23046,0.74559,1.0271,0,0.000171217,0.000171217,0.000171217
65,3068.65,0.72499,1.08877,0.74859,0.96504,0,0.95166,0.96759,0.995,0.81319,0.94323,0.95692,0.98111,0.72146,0.76039,1.26103,0.69645,1.01852,0,0.000166712,0.000166712,0.000166712
66,3114.48,0.74373,1.12711,0.73812,0.97165,0,0.95818,0.94067,0.995,0.78231,0.9555,0.93724,0.98111,0.72438,0.79309,1.22661,0.74444,1.03713,0,0.000162207,0.000162207,0.000162207
67,3158.16,0.72463,1.10855,0.70806,0.97342,0,0.95457,0.97297,0.995,0.80289,0.90306,0.97195,0.96269,0.71927,0.743,1.23606,0.70514,1.01669,0,0.000157703,0.000157703,0.000157703
68,3201.24,0.74338,1.1018,0.72984,0.97122,0,0.91874,0.97633,0.99037,0.79272,0.91874,0.97633,0.97131,0.71416,0.72704,1.22363,0.76409,1.00587,0,0.000153198,0.000153198,0.000153198
69,3243.18,0.75174,1.10709,0.72903,0.97206,0,0.9526,0.97477,0.995,0.78508,0.93942,0.96088,0.98111,0.70678,0.81352,1.32647,0.73796,1.03102,0,0.000148694,0.000148694,0.000148694
70,3286.62,0.73445,1.09011,0.71738,0.97134,0,0.97198,0.9693,0.995,0.79179,0.9586,0.95541,0.98111,0.7144,0.77184,1.27648,0.68079,1.02182,0,0.00014419,0.00014419,0.00014419
71,3328.53,0.75356,1.09977,0.7177,0.9897,0,0.9466,0.97473,0.995,0.7827,0.93308,0.96107,0.97278,0.72196,0.77686,1.22008,0.7225,1.01883,0,0.000139685,0.000139685,0.000139685
72,3370.17,0.74531,1.0991,0.72646,0.9694,0,0.87493,0.95545,0.97102,0.76847,0.86195,0.94037,0.95019,0.69597,0.79481,1.28616,0.73551,1.02889,0,0.000135181,0.000135181,0.000135181
73,3412.04,0.69919,1.06501,0.68586,0.96628,0,0.94427,0.93704,0.98905,0.81484,0.93222,0.92234,0.97516,0.71528,0.72863,1.25829,0.68115,0.99537,0,0.000130676,0.000130676,0.000130676
74,3454.89,0.70124,1.06814,0.67476,0.96981,0,0.94496,0.98302,0.99222,0.81057,0.94496,0.98302,0.99222,0.72747,0.73981,1.2231,0.69122,0.99467,0,0.000126172,0.000126172,0.000126172
75,3498.9,0.73133,1.10214,0.70971,0.97321,0,0.96469,0.96692,0.995,0.80166,0.96469,0.96692,0.995,0.73448,0.76538,1.195,0.68979,0.99111,0,0.000121667,0.000121667,0.000121667
76,3544.83,0.69569,1.06094,0.6597,0.95708,0,0.91604,0.95279,0.97249,0.8059,0.89692,0.93967,0.96307,0.71718,0.72663,1.23296,0.69394,0.9919,0,0.000117163,0.000117163,0.000117163
77,3590.36,0.72139,1.08505,0.69562,0.96986,0,0.93769,0.96064,0.99037,0.81136,0.92013,0.94676,0.97671,0.72983,0.71642,1.26144,0.6795,0.99226,0,0.000112658,0.000112658,0.000112658
78,3637.22,0.70023,1.05004,0.65714,0.96138,0,0.95882,0.97606,0.995,0.81808,0.94562,0.96357,0.98134,0.72085,0.72926,1.24097,0.66134,0.99609,0,0.000108154,0.000108154,0.000108154
79,3684.04,0.70785,1.06326,0.67578,0.96183,0,0.95522,0.98703,0.995,0.83342,0.95522,0.98703,0.995,0.72926,0.69763,1.20924,0.6561,0.97333,0,0.000103649,0.000103649,0.000103649
80,3730.81,0.72421,1.04552,0.686,0.96895,0,0.96544,0.98391,0.99222,0.82922,0.96223,0.98728,0.995,0.7282,0.70627,1.21805,0.65828,0.98313,0,9.91445e-05,9.91445e-05,9.91445e-05
81,3780.24,0.71274,1.06914,0.69832,0.95727,0,0.92919,0.98599,0.9869,0.81057,0.93115,0.98501,0.98343,0.71705,0.72198,1.23058,0.68059,0.99023,0,9.464e-05,9.464e-05,9.464e-05
82,3830.01,0.69366,1.06066,0.64885,0.94685,0,0.92168,0.97222,0.98759,0.81966,0.9058,0.9653,0.97698,0.72331,0.71249,1.25879,0.63222,0.99493,0,9.01355e-05,9.01355e-05,9.01355e-05
83,3887.24,0.68904,1.10032,0.63944,0.95554,0,0.90639,0.9958,0.98905,0.80925,0.90639,0.9958,0.98905,0.7144,0.71463,1.23446,0.66777,1.00027,0,8.5631e-05,8.5631e-05,8.5631e-05
84,3945.35,0.66502,1.03586,0.62654,0.94628,0,0.92288,0.98014,0.98905,0.80778,0.92288,0.98014,0.98905,0.72663,0.73244,1.18639,0.6598,1.004,0,8.11265e-05,8.11265e-05,8.11265e-05
85,4000.21,0.66708,1.01138,0.63453,0.95458,0,0.96332,0.97759,0.99222,0.81345,0.96494,0.98154,0.995,0.73477,0.72905,1.23251,0.63621,1.00031,0,7.6622e-05,7.6622e-05,7.6622e-05
86,4053.76,0.69299,1.03632,0.65781,0.96277,0,0.96062,0.98105,0.995,0.80248,0.96062,0.98105,0.995,0.73972,0.74598,1.22751,0.64703,0.99255,0,7.21175e-05,7.21175e-05,7.21175e-05
87,4106.01,0.66574,1.00445,0.65097,0.95622,0,0.95444,0.98418,0.995,0.80978,0.9383,0.97071,0.98558,0.73733,0.75384,1.21599,0.64724,0.97684,0,6.7613e-05,6.7613e-05,6.7613e-05
88,4154.93,0.65545,1.0093,0.61275,0.94009,0,0.94214,0.98611,0.99222,0.80093,0.94214,0.98611,0.99222,0.71798,0.73661,1.21069,0.64069,0.9748,0,6.31085e-05,6.31085e-05,6.31085e-05
89,4206.42,0.66274,1.02802,0.62236,0.94735,0,0.94737,0.97916,0.99222,0.80728,0.94737,0.97916,0.99222,0.72435,0.73615,1.2029,0.63571,0.98506,0,5.8604e-05,5.8604e-05,5.8604e-05
90,4253.07,0.6438,0.98995,0.62603,0.95041,0,0.95583,0.9721,0.99222,0.78775,0.95583,0.9721,0.99222,0.73113,0.74787,1.21222,0.63946,0.98346,0,5.40995e-05,5.40995e-05,5.40995e-05
91,4311.31,0.6031,0.85363,0.62471,0.93851,0,0.9481,0.98531,0.995,0.80533,0.9481,0.98531,0.995,0.73,0.72261,1.22367,0.67796,0.98733,0,4.9595e-05,4.9595e-05,4.9595e-05
92,4358.04,0.60519,0.87103,0.6286,0.91667,0,0.9502,0.98006,0.995,0.79793,0.9502,0.98006,0.995,0.74303,0.72649,1.22649,0.68981,0.995,0,4.50905e-05,4.50905e-05,4.50905e-05
93,4402.77,0.5671,0.85226,0.60532,0.92572,0,0.95168,0.9792,0.995,0.79728,0.95202,0.97441,0.99222,0.73044,0.72823,1.20154,0.6677,1.00421,0,4.0586e-05,4.0586e-05,4.0586e-05
94,4451.96,0.58971,0.84481,0.61604,0.92859,0,0.95711,0.97128,0.99222,0.80354,0.95185,0.95141,0.97833,0.72225,0.72994,1.21173,0.66779,0.988,0,3.60815e-05,3.60815e-05,3.60815e-05
95,4501.13,0.57447,0.82039,0.59651,0.93091,0,0.95876,0.97526,0.99222,0.80666,0.95948,0.98034,0.995,0.74005,0.73119,1.22108,0.63658,0.98473,0,3.1577e-05,3.1577e-05,3.1577e-05
96,4550.3,0.57312,0.82778,0.61524,0.91696,0,0.95708,0.97707,0.995,0.80126,0.95708,0.97707,0.995,0.74067,0.7109,1.23526,0.63908,0.97946,0,2.70725e-05,2.70725e-05,2.70725e-05
97,4595.12,0.55687,0.82077,0.58859,0.91715,0,0.96124,0.97773,0.995,0.80739,0.94327,0.96364,0.98227,0.7312,0.71079,1.23958,0.6339,0.9802,0,2.2568e-05,2.2568e-05,2.2568e-05
98,4644.17,0.5887,0.83723,0.60743,0.92693,0,0.96116,0.96816,0.99037,0.81539,0.94981,0.95698,0.97728,0.73628,0.70154,1.22689,0.62443,0.97288,0,1.80635e-05,1.80635e-05,1.80635e-05
99,4697.48,0.56741,0.80389,0.58712,0.91981,0,0.95837,0.96618,0.98905,0.80556,0.9496,0.95558,0.97962,0.73265,0.70237,1.2355,0.62728,0.96931,0,1.3559e-05,1.3559e-05,1.3559e-05
100,4742.26,0.54057,0.80646,0.57979,0.90572,0,0.94684,0.97994,0.99222,0.80704,0.94684,0.97994,0.99222,0.73796,0.69573,1.22735,0.63012,0.96698,0,9.0545e-06,9.0545e-06,9.0545e-06
